GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",528143,528152,529228,533351,538156,541926,543891,547007,551632
310M300US16940,16940,"Cheyenne, WY Metro Area",91738,91881,92272,92637,94785,95929,96264,97183,98136
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461550,9471637,9493862,9516555,9535961,9543893,9532569,9512999
310M300US17020,17020,"Chico, CA Metro Area",220000,220000,219983,219987,221180,222116,223974,225251,226864
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2114580,2114751,2117889,2122659,2128439,2136296,2146784,2155392,2165139
310M300US17300,17300,"Clarksville, TN-KY Metro Area",260625,260635,261718,264443,275272,273191,277759,280988,282349
310M300US17420,17420,"Cleveland, TN Metro Area",115788,115758,115936,116620,117707,118521,119643,120651,121262
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",2077240,2077258,2075769,2068471,2064240,2064501,2063862,2059929,2055612
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",138494,138464,138887,141025,142311,144299,147294,150364,154311
310M300US17780,17780,"College Station-Bryan, TX Metro Area",228660,228668,229480,231386,234025,237722,242530,250040,254928
310M300US17820,17820,"Colorado Springs, CO Metro Area",645613,645611,650397,660230,669014,678235,686022,697619,712327
310M300US17860,17860,"Columbia, MO Metro Area",162642,162645,163201,166030,168746,171072,172906,174546,176594
310M300US17900,17900,"Columbia, SC Metro Area",767598,767477,769689,776543,783941,791746,799854,809771,817488
310M300US17980,17980,"Columbus, GA-AL Metro Area",294865,295531,296506,302721,311071,316616,314029,311820,308755
310M300US18020,18020,"Columbus, IN Metro Area",76794,76786,76845,77626,78927,79491,80182,81011,81402
