GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US19300,19300,"Daphne-Fairhope-Foley, AL Metro Area",182265,182265,183110,186534,190048,194736,199064,202863,207509,212628
310M300US19340,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",379690,379689,379741,380509,382269,383597,383814,383365,382671,382263
310M300US19380,19380,"Dayton, OH Metro Area",799232,799251,799639,800690,801382,800609,800264,799293,800886,803416
310M300US19460,19460,"Decatur, AL Metro Area",153829,153825,153949,154054,153880,153114,152856,152336,152051,151867
310M300US19500,19500,"Decatur, IL Metro Area",110768,110768,110777,110649,110105,109533,108529,107419,106651,105801
310M300US19660,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",590289,590294,590515,591964,595246,600681,609394,622251,636843,649202
310M300US19740,19740,"Denver-Aurora-Lakewood, CO Metro Area",2543482,2543592,2554399,2599629,2646151,2696308,2749827,2807211,2851848,2888227
310M300US19780,19780,"Des Moines-West Des Moines, IA Metro Area",569633,569633,571967,580961,589758,600366,611977,622566,634740,645911
310M300US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",4296250,4296317,4291287,4288618,4295646,4298541,4303366,4302282,4305869,4313002
310M300US20020,20020,"Dothan, AL Metro Area",145639,145643,145870,146604,147447,147439,147826,147990,147781,147914
310M300US20100,20100,"Dover, DE Metro Area",162310,162349,162973,165149,167442,169150,171664,173332,174754,176824
310M300US20220,20220,"Dubuque, IA Metro Area",93653,93653,93930,94599,95128,95888,96408,96813,96704,97041
310M300US20260,20260,"Duluth, MN-WI Metro Area",279771,279771,279677,279753,279339,279439,279651,279197,278954,278782
310M300US20500,20500,"Durham-Chapel Hill, NC Metro Area",504357,506623,508532,515514,524708,532944,541769,550346,558920,567428
310M300US20700,20700,"East Stroudsburg, PA Metro Area",169842,169838,169876,169961,168775,167588,167547,166835,166516,168046
310M300US20740,20740,"Eau Claire, WI Metro Area",161151,161390,161658,162881,163889,164795,164981,165455,166452,167484
310M300US20940,20940,"El Centro, CA Metro Area",174528,174528,174778,176157,177241,177267,178868,179839,180980,182830
310M300US21060,21060,"Elizabethtown-Fort Knox, KY Metro Area",148338,148351,149853,151319,151500,152155,151646,148095,148940,150430
310M300US21140,21140,"Elkhart-Goshen, IN Metro Area",197559,197561,197452,198383,199084,200366,201673,203401,204146,205032
310M300US21300,21300,"Elmira, NY Metro Area",88830,88841,88985,88983,89197,88374,87414,87030,86040,85557
310M300US21340,21340,"El Paso, TX Metro Area",804123,804123,806983,822747,834478,833522,836753,836326,841220,844818
310M300US21420,21420,"Enid, OK Metro Area",60580,60580,60736,60664,61270,62272,62704,63163,62384,61581
310M300US21500,21500,"Erie, PA Metro Area",280566,280564,280775,281288,281503,280647,279351,278111,276321,274541
310M300US21660,21660,"Eugene, OR Metro Area",351715,351713,351880,353419,354486,355041,357564,361721,368283,374748
310M300US21780,21780,"Evansville, IN-KY Metro Area",311552,311554,311787,312631,313452,314454,315055,315439,315700,315669
310M300US21820,21820,"Fairbanks, AK Metro Area",97581,97585,98276,98136,100354,100898,99308,99643,100602,99703
310M300US22020,22020,"Fargo, ND-MN Metro Area",208777,208777,209350,212706,216972,223477,227998,232987,237483,241356
310M300US22140,22140,"Farmington, NM Metro Area",130044,130045,130205,129649,129677,129324,128958,128125,127772,126926
310M300US22180,22180,"Fayetteville, NC Metro Area",366383,366322,374710,380366,380740,384464,384360,384554,386646,386662
310M300US22220,22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area",463204,463210,465290,475098,484093,492739,502187,513262,525176,537463
310M300US22380,22380,"Flagstaff, AZ Metro Area",134421,134435,134612,134181,136002,136448,137209,138682,140079,140776
310M300US22420,22420,"Flint, MI Metro Area",425790,425788,424938,421901,418054,415489,412673,410249,408607,407385
310M300US22500,22500,"Florence, SC Metro Area",205566,205571,205667,205822,206146,206066,206525,206307,205818,205831
310M300US22520,22520,"Florence-Muscle Shoals, AL Metro Area",147137,147137,147260,147137,147221,147216,147444,146780,146646,147038
310M300US22540,22540,"Fond du Lac, WI Metro Area",101633,101630,101585,101841,101823,101783,101952,101916,102210,102548
310M300US22660,22660,"Fort Collins, CO Metro Area",299630,299628,300427,305027,310521,315859,323673,332840,338531,343976
310M300US22900,22900,"Fort Smith, AR-OK Metro Area",280467,280538,280686,281216,281027,280156,279858,280393,281032,282086
310M300US23060,23060,"Fort Wayne, IN Metro Area",416257,416254,416927,419867,421669,424155,426321,428909,431296,434617
310M300US23420,23420,"Fresno, CA Metro Area",930450,930495,932218,940360,946851,953787,963170,972333,979534,989255
310M300US23460,23460,"Gadsden, AL Metro Area",104430,104427,104457,104354,104257,103865,103374,102942,102726,102755
310M300US23540,23540,"Gainesville, FL Metro Area",264275,264276,264607,266825,268543,269608,272745,276689,281551,284687
